order,local_path,bucket,target_path,content_type,bytes,sha256,upsert,public_url
1,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_master.svg,brand-assets,Property_Pulse/Logos/pp_logo_master.svg,image/svg+xml,6951,71923fd4642a062c1edb1e185808db192f1957aa7d2663091a8daabebd9ef053,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_master.svg
2,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_master_editable.svg,brand-assets,Property_Pulse/Logos/pp_logo_master_editable.svg,image/svg+xml,800,e971759e807f822793bc55020bdbe16f670a07ea52b9d0f14be04ac32a8b31fe,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_master_editable.svg
3,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_full_colour.svg,brand-assets,Property_Pulse/Logos/pp_logo_full_colour.svg,image/svg+xml,6951,f12765b3d84fccc2191f4998788f8806a05b6dfb00f64d30f6c31ef4f166ecb0,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_full_colour.svg
4,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_white.svg,brand-assets,Property_Pulse/Logos/pp_logo_white.svg,image/svg+xml,6951,29d2fff49a25a7cf3f27d7b02790703eca3d51b4a0bf1f0387ffef1a4944368b,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_white.svg
5,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_dark.svg,brand-assets,Property_Pulse/Logos/pp_logo_dark.svg,image/svg+xml,6951,b1800cd2e63ceec21e4570416f43e4c088cf8e229711724659b4a8ed37c91553,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_dark.svg
6,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_mark_only.svg,brand-assets,Property_Pulse/Logos/pp_logo_mark_only.svg,image/svg+xml,623,3cb8563bb1621c80db92ce7a19ba02e09ef511bf77b98f2658372c0a852fe115,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_mark_only.svg
7,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_mark_only_dark.svg,brand-assets,Property_Pulse/Logos/pp_logo_mark_only_dark.svg,image/svg+xml,623,0c2892c76eb37ef15e5bdbfe719299171673d7366ef4c0229875395a49550ee2,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_mark_only_dark.svg
8,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_master_transparent_512.png,brand-assets,Property_Pulse/Logos/pp_logo_master_transparent_512.png,image/png,25361,88cc62acb980e9494908aa5184bd4299aee4a2989d9071220efc6b5ac8926751,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_master_transparent_512.png
9,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_master_transparent_1024.png,brand-assets,Property_Pulse/Logos/pp_logo_master_transparent_1024.png,image/png,57316,69d9697c220bd64fe09cce9a6ad5396541dd85cbe35e481c28ceb7259b2e5697,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_master_transparent_1024.png
10,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_master_transparent_2048.png,brand-assets,Property_Pulse/Logos/pp_logo_master_transparent_2048.png,image/png,136752,308cc34c2b0ff2875cb91224865750500d7d5e951768766f654a4a599430086f,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_master_transparent_2048.png
11,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_full_colour_1024.png,brand-assets,Property_Pulse/Logos/pp_logo_full_colour_1024.png,image/png,61891,9423a7b619bed6117e8c1f926a50b34c983af8ee695caae3c885996795cf7864,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_full_colour_1024.png
12,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_white_1024.png,brand-assets,Property_Pulse/Logos/pp_logo_white_1024.png,image/png,50690,8f90163fd5968867423997670e05eba67f8cfcad742596906c923de9b8cee1b5,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_white_1024.png
13,_harness/pp_logo_variant_intake_v0/source/vector/pp_logo_dark_1024.png,brand-assets,Property_Pulse/Logos/pp_logo_dark_1024.png,image/png,60522,af725d11040d03d0320ac5424f7cb8385eb9a53157ddef3ac5a90c427b74ad61,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_dark_1024.png
14,_harness/pp_logo_variant_intake_v0/source/assets/pp_logo_mark_only_transparent_512.png,brand-assets,Property_Pulse/Logos/pp_logo_mark_only_transparent_512.png,image/png,21082,5a05207747a09e68f0ba7fe05745cc7738bdfdac74df2b74bef2db242e06b092,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_mark_only_transparent_512.png
15,_harness/pp_logo_variant_intake_v0/source/assets/pp_logo_mark_only_transparent_1024.png,brand-assets,Property_Pulse/Logos/pp_logo_mark_only_transparent_1024.png,image/png,71599,5c612982d3e67020cceefd777e701ab283ff695c964546a3b1287f5bc87b0e37,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_mark_only_transparent_1024.png
16,_harness/pp_logo_variant_intake_v0/source/assets/pp_logo_square_navy_bg_512.png,brand-assets,Property_Pulse/Logos/pp_logo_square_navy_bg_512.png,image/png,30592,4d51bba8e1d775e00bb624d74ec8a649a6c08a12ee8e0ad5c09333e65a2a4966,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_square_navy_bg_512.png
17,_harness/pp_logo_variant_intake_v0/source/assets/pp_logo_square_navy_bg_1024.png,brand-assets,Property_Pulse/Logos/pp_logo_square_navy_bg_1024.png,image/png,73754,0956757dcc6488d6955549eae0875a5fb08ea1d0990086a279160cf2726cea3c,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_square_navy_bg_1024.png
18,_harness/pp_logo_variant_intake_v0/source/assets/pp_logo_watermark_white_transparent.png,brand-assets,Property_Pulse/Logos/pp_logo_watermark_white_transparent.png,image/png,45489,dc4734d561c985f9496f74a9c8d6fec4413785ce54f07310d7571d3a584ed497,False,https://mbkmaxqhsohbtwsqolns.supabase.co/storage/v1/object/public/brand-assets/Property_Pulse/Logos/pp_logo_watermark_white_transparent.png
